timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1706891828708,739,Переход на вкладку категории,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,318715,441,5,10,null,,627,UTF-8,1,0,DESKTOP-59ENBAD,615,0
1706891829795,302,Добавить товар в коризну,200,OK,Thread Group 1-3,text,true,,3019,765,5,10,https://dostaevsky.ru/ajax/basket/add_to_basket?item_id=10345,,301,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829654,558,Переход на второй товар,200,OK,Thread Group 2-1,text,true,,312149,468,5,10,https://dostaevsky.ru/sets-sushi-rolls/spicy-salmon-roll,,452,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891827714,1280,Выбор второго товара из списка,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-1,,true,,643986,953,5,10,null,,1060,UTF-8,1,0,DESKTOP-59ENBAD,1218,0
1706891823412,3376,Use Case № 2,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 2-1,,true,,1623273,2019,5,10,null,,2798,UTF-8,1,0,DESKTOP-59ENBAD,3424,61
1706891830213,0,Debug Sampler,200,OK,Thread Group 2-1,text,true,,765,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891829795,467,Переход на товар,200,OK,Thread Group 1-4,text,true,,295943,454,5,10,https://dostaevsky.ru/onigiri/tuna-onigiri,,359,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829185,467,Переход на товар,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-4,,true,,295943,454,5,10,null,,359,UTF-8,1,0,DESKTOP-59ENBAD,612,0
1706891829765,760,Результаты поиска,200,OK,Thread Group 2-5,text,true,,331123,485,5,10,https://dostaevsky.ru/search-results?query=%D0%A0%D0%BE%D0%BB%D0%BB%D1%8B,,641,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829151,760,Ввод поискового запроса,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 2-5,,true,,331123,485,5,10,null,,641,UTF-8,1,0,DESKTOP-59ENBAD,619,0
1706891830489,279,Полуить информацию с корзины,200,OK,Thread Group 1-1,text,true,,1340,771,5,10,https://dostaevsky.ru/basket/info,,279,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828992,553,Убрать из корзины,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-1,,true,,2690,1779,5,10,null,,553,UTF-8,1,0,DESKTOP-59ENBAD,1222,0
1706891830768,0,Debug Sampler,200,OK,Thread Group 1-1,text,true,,611,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891830711,334,Получить информацию с корзины,200,OK,Thread Group 1-3,text,true,,1724,882,5,10,https://dostaevsky.ru/basket/info,,334,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891829185,636,Добавить в корзину,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-3,,true,,4743,1647,5,10,null,,635,UTF-8,1,0,DESKTOP-59ENBAD,1223,0
1706891830268,798,Результаты поиска,200,OK,Thread Group 2-3,text,true,,335400,503,5,10,https://dostaevsky.ru/search-results?query=%D0%93%D0%BE%D0%B2%D1%8F%D0%B4%D0%B8%D0%BD%D0%B0,,681,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891830647,518,Переход на второй товар,200,OK,Thread Group 2-2,text,true,,320984,458,5,10,https://dostaevsky.ru/pizza/cheeseburger-pizza,,406,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891828698,1247,Выбор второго товара из списка,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 2-2,,true,,644364,949,5,10,null,,1023,UTF-8,1,0,DESKTOP-59ENBAD,1219,0
1706891824413,3326,Use Case № 2,200,"Number of samples in transaction : 8, number of failing samples : 0",Thread Group 2-2,,true,,1624868,2019,5,10,null,,2742,UTF-8,1,0,DESKTOP-59ENBAD,3425,57
1706891831165,0,Debug Sampler,200,OK,Thread Group 2-2,text,true,,724,0,5,10,null,,0,windows-1251,1,0,DESKTOP-59ENBAD,0,0
1706891830665,670,Переход на товар,200,OK,Thread Group 1-5,text,true,,295965,465,5,10,https://dostaevsky.ru/burgers/chicken-sausage-hot-dog,,565,UTF-8,1,0,DESKTOP-59ENBAD,0,0
1706891830062,670,Переход на товар,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-5,,true,,295965,465,5,10,null,,565,UTF-8,1,0,DESKTOP-59ENBAD,604,0
1706891830869,476,Добавить товар в коризну,200,OK,Thread Group 1-4,text,true,,2991,765,5,10,https://dostaevsky.ru/ajax/basket/add_to_basket?item_id=13476,,476,UTF-8,1,0,DESKTOP-59ENBAD,0,0
